time,left_wheel_vel,right_wheel_vel
0.199768254,55.87599719723067,55.87599719723067
0.39955809,55.87599719723067,55.87599719723067
0.599766003,53.12799808154055,55.87599719723067
0.799711658,55.87599719723067,57.70799964333038
0.999975584,56.79199842028053,55.87599719723067
1.200079223,56.79199842028053,55.87599719723067
1.40004143,54.96000052764026,55.87599719723067
1.600184599,52.21200141195013,54.96000052764026
1.799787327,57.70799964333038,56.79199842028053
1.999709724,54.96000052764026,54.96000052764026
2.200018839,54.96000052764026,56.79199842028053
2.399672482,54.96000052764026,53.12799808154055
2.599704113,57.70799964333038,55.87599719723067
2.799887721,54.96000052764026,55.87599719723067
2.999956857,55.87599719723067,55.87599719723067
3.199613643,54.0439993045904,56.79199842028053
3.399627394,54.96000052764026,56.79199842028053
3.599695623,58.62400086638024,57.70799964333038
3.79962696,53.12799808154055,54.96000052764026
3.999978539,55.87599719723067,55.87599719723067
4.199803227,55.87599719723067,55.87599719723067
4.399680785,54.96000052764026,54.96000052764026
4.599618897,55.87599719723067,55.87599719723067
4.799748377,56.79199842028053,55.87599719723067
4.999958596,57.70799964333038,56.79199842028053
5.199971299,53.12799808154055,54.0439993045904
5.399738297,54.0439993045904,54.0439993045904
5.599762315,56.79199842028053,55.87599719723067
5.800018839,57.70799964333038,56.79199842028053
5.999765513,52.21200141195013,56.79199842028053
6.199689168,54.96000052764026,55.87599719723067
6.399958054,55.87599719723067,55.87599719723067
6.599614631,55.87599719723067,55.87599719723067
6.799609874,54.96000052764026,54.96000052764026
6.999687322,53.12799808154055,54.96000052764026
7.199700375,56.79199842028053,57.70799964333038
7.399707841,54.0439993045904,54.96000052764026
7.599732768,54.96000052764026,54.96000052764026
7.799681705,53.12799808154055,53.12799808154055
7.999838425,58.62400086638024,57.70799964333038
8.19961988,58.62400086638024,55.87599719723067
8.399677423,54.0439993045904,54.96000052764026
8.599750332,54.0439993045904,55.87599719723067
8.80008913,54.96000052764026,54.96000052764026
8.999770083,57.70799964333038,57.70799964333038
9.199626549,52.21200141195013,55.87599719723067
9.399762665,55.87599719723067,56.79199842028053
9.599510876,55.87599719723067,56.79199842028053
9.799727031,55.87599719723067,55.87599719723067
9.999661721,55.87599719723067,54.0439993045904
10.199734769,54.96000052764026,54.96000052764026
10.399706337,57.70799964333038,56.79199842028053
10.599761715,54.0439993045904,54.0439993045904
10.799806128,54.96000052764026,55.87599719723067
10.999517601,54.96000052764026,54.0439993045904
11.19973236,55.87599719723067,54.96000052764026
11.399736614,54.0439993045904,54.96000052764026
11.599976585,55.87599719723067,54.96000052764026
11.799825649,54.96000052764026,55.87599719723067
11.999620654,54.0439993045904,56.79199842028053
12.199617435,57.70799964333038,55.87599719723067
12.399792453,54.96000052764026,55.87599719723067
12.599616723,56.79199842028053,57.70799964333038
12.799621465,55.87599719723067,53.12799808154055
12.999629211,55.87599719723067,56.79199842028053
13.199673694,55.87599719723067,55.87599719723067
13.39960615,53.12799808154055,56.79199842028053
13.599652309,57.70799964333038,56.79199842028053
13.799616683,52.21200141195013,53.12799808154055
13.999737923,52.21200141195013,54.96000052764026
14.199622606,54.0439993045904,54.0439993045904
14.399616872,58.62400086638024,56.79199842028053
14.599613583,54.0439993045904,54.96000052764026
14.799623425,54.96000052764026,57.70799964333038
14.999632917,54.96000052764026,55.87599719723067
15.199751293,55.87599719723067,56.79199842028053
15.399617678,58.62400086638024,55.87599719723067
