time,wheel_odom_x,wheel_odom_y,odom_filter_x,odom_filter_y,true_x,true_y
-3.7571e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.200104063,0.0,0.0,0.0,0.0,0.020000000000000004,0.0
0.400684894,0.023463572048723395,0.00010264068065445921,0.01541856659200782,-9.174015504498585e-06,0.04000000000000001,0.0
0.600704107,0.04215631550851795,9.940128797391978e-05,0.03449129060375941,2.0121457778903495e-05,0.06000000000000001,0.0
0.799877262,0.05528387916602097,0.0003621954841273883,0.054807467907736315,-4.619139050613489e-05,0.08000000000000002,0.0
1.000164855,0.07965231989639653,0.0005862148918235942,0.07740305362409977,-0.00026824393636705734,0.1,0.0
1.200190304,0.10227441474195041,0.000934855252719072,0.09457560644633438,-0.0002628593745866561,0.12000000000000002,0.0
1.400502707,0.11863150185055152,0.0011211241814541092,0.11661496093001647,-0.00030392120367467014,0.14,0.0
1.600608746,0.14377307968313613,0.00159429199810309,0.11661496093001647,-0.00030392120367467014,0.16000000000000003,0.0
1.80000379,0.16069770239650144,0.0017432367640291572,0.158453249051927,-0.00018422250875262442,0.18000000000000002,0.0
1.99998713,0.17731084763854926,0.0019076274354764007,0.1749772300035761,-7.651887369151706e-05,0.2,0.0
2.200111766,0.19959848609186961,0.002140841168865976,0.19746458779860537,0.00013238113309953806,0.22000000000000003,0.0
2.400097708,0.21632841449003506,0.002288303674670183,0.21415976193710992,0.0002712592673465595,0.24000000000000005,0.0
2.600706305,0.24569480851526918,0.002647520811405934,0.23690041089592306,0.0004748856604035372,0.26,0.0
2.800705796,0.2647211405157465,0.0028073054958716414,0.2569834271721156,0.0006998752064366597,0.28,0.0
3.000019782,0.2801247134311636,0.002922457969244603,0.2777236837842061,0.0008454152819540755,0.30000000000000004,0.0
3.200196816,0.29983209736864386,0.0031192443993984667,0.2975743579856073,0.001081092535109375,0.32000000000000006,0.0
3.400108264,0.3192935435251696,0.0033079208395603355,0.31693964499123334,0.0013978933080139744,0.3400000000000001,0.0
3.600973388,0.3454420939548339,0.003593523202711579,0.33868836259139345,0.0018253621573560037,0.36000000000000004,0.0
3.800588803,0.36791547834240107,0.003797516036257573,0.3535592198698438,0.0021380737130315863,0.38000000000000006,0.0
4.000909211,0.3839779315953338,0.0039930250405421745,0.37667006500341244,0.0026862988174774613,0.4,0.0
4.200758946,0.4055402103968979,0.004277871690861501,0.3975482922854546,0.003279424387122581,0.42000000000000004,0.0
4.400413001,0.4253345298825041,0.004529070242142686,0.417942327873671,0.0038868690084981525,0.44000000000000006,0.0
4.600300656,0.4416664594212596,0.00470906803730574,0.4382379489984518,0.004443084451010148,0.4600000000000001,0.0
4.800957132,0.4666514902884189,0.004925321027291853,0.45672232278321445,0.004919461164923321,0.4800000000000001,0.0
5.000757006,0.48319516573164734,0.0050087081471397645,0.47409692029194317,0.005343993616591869,0.5,0.0
5.200480288,0.5086478299491658,0.005228644690891535,0.4929028053257876,0.005784660013159303,0.52,0.0
5.40017836,0.5215352988196904,0.0053933601536486344,0.5176913699790862,0.0064955651160677145,0.54,0.0
5.600141458,0.5376811879763577,0.00555547615434501,0.533827584013435,0.006978649929585879,0.56,0.0
5.800142617,0.563330536567295,0.0057691777907057816,0.5553158347983378,0.0075476499104970155,0.5800000000000001,0.0
6.000532902,0.5846594868983462,0.0059768297991133765,0.5737469573765629,0.007994476235537446,0.6000000000000001,0.0
6.200144607,0.6015724653432638,0.006217266617122391,0.598065247134731,0.008601253098991584,0.6200000000000001,0.0
6.40023776,0.6185410736308823,0.006418982918691863,0.6149407475961822,0.009009402534229365,0.6400000000000001,0.0
6.60002189,0.6395526893756258,0.006627696113079436,0.6363415366136997,0.009502336112699628,0.6600000000000001,0.0
6.800163648,0.6621317703118553,0.0068720230807585575,0.6588382018700873,0.010053339236884664,0.6800000000000002,0.0
7.000686152,0.6881192862449289,0.007107897683393835,0.6742118110786974,0.010341519327607143,0.7000000000000001,0.0
7.200203111,0.6998574070483375,0.007154677034408125,0.6967282861258662,0.010676507075936462,0.7200000000000001,0.0
7.400168275,0.7213398321778255,0.0073995412561869475,0.7183806379936046,0.010999376836616136,0.7400000000000001,0.0
7.600667962,0.7445750639807351,0.007659765364660652,0.7372362883291649,0.011273714427262717,0.7600000000000001,0.0
7.800099512,0.7620899171523636,0.0077816961812301804,0.7591517652458419,0.011540148303270915,0.7800000000000001,0.0
8.000644593,0.7878842320836122,0.00796181262092161,0.7791066256748427,0.011718009662832487,0.8,0.0
8.200141809,0.7986863464866988,0.008057734197094471,0.7956545430834726,0.011903737139661549,0.8200000000000002,0.0
8.400872811,0.8269953626984873,0.008341213132552787,0.8195142884414943,0.012224173695719924,0.8400000000000001,0.0
8.600461861,0.8491750155417365,0.008480562984474483,0.8401274209956836,0.012449749083040083,0.86,0.0
8.800142745,0.8615750468998083,0.008574927015061917,0.8585303759694777,0.012679636771171655,0.8800000000000001,0.0
9.000026992,0.8795074369135678,0.008632750934499901,0.8766299142792467,0.012860389751984714,0.9,0.0
9.20020352,0.9081763756195604,0.00856363893276681,0.9006525619511344,0.012996836936018125,0.9200000000000002,0.0
9.400188139,0.9226492679163754,0.008464769733807486,0.9195809773276092,0.013102777495257465,0.9400000000000001,0.0
9.600220945,0.9389387267685684,0.008456517470505224,0.935948597068216,0.013276370761775617,0.9600000000000002,0.0
9.800472057,0.9669723159082262,0.008435898568666386,0.9581682353363427,0.013569496045938777,0.9800000000000001,0.0
10.000020206,0.984131255320469,0.00843347868118203,0.9808842322782683,0.013945519080094747,1.0,0.0
