time,wheel_odom_x,wheel_odom_y,odom_filter_x,odom_filter_y,true_x,true_y
-2.0394e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.200085152,0.001957692523311793,3.7687177220573536e-06,8.117646055156246e-05,0.0,0.020000000000000004,0.0
0.40012791,0.028580775296827572,2.981344673644871e-05,0.016581873912964794,-6.662848637408624e-07,0.04000000000000001,0.0
0.600124991,0.04509613887665012,6.83448398002865e-05,0.04038324732931434,-3.744806801711307e-05,0.06000000000000001,0.0
0.800181158,0.05823773463643441,0.00011141739855027446,0.060047545823647346,0.00013666660652213262,0.08000000000000002,0.0
1.000179914,0.05823773463643441,0.00011141739855027446,0.060047545823647346,0.00013666660652213262,0.1,0.0
1.200190124,0.1044104786713371,0.0006737546573325655,0.0991957342495529,0.00041382198415488994,0.12000000000000002,0.0
1.400096549,0.1256702901871358,0.0007291169877423589,0.11979969947598054,0.0006800309520142289,0.14,0.0
1.600343592,0.14404305414551496,0.0008451405278309871,0.13918781748228914,0.0009409507232439836,0.16000000000000003,0.0
1.800283331,0.16886042413053248,0.0010095487827146644,0.15785522457608167,0.0012634066144597926,0.18000000000000002,0.0
2.000122916,0.18486037121020307,0.0010610622339098177,0.1779837417920541,0.0016460988744553154,0.2,0.0
2.200141715,0.19474225693995673,0.0011036369282959478,0.19402042253671528,0.0018678357836477513,0.22000000000000003,0.0
2.40004332,0.22655247002269915,0.0011033402945382622,0.21947056960611291,0.0022568718470296657,0.24000000000000005,0.0
2.600378501,0.2435289301346818,0.0009943223148040263,0.23447411618966543,0.0022433744971688823,0.26,0.0
2.800121145,0.2435289301346818,0.0009943223148040263,0.2416974399858378,0.00223164350603341,0.28,0.0
3.000021002,0.2838632398873219,0.0008196049589559802,0.2786767070482898,0.002259359430509698,0.30000000000000004,0.0
3.200052371,0.3081116240188801,0.0007513159083543009,0.29792221318555906,0.002375599124555625,0.32000000000000006,0.0
3.400122222,0.32277675196172606,0.0007767449743672604,0.31857427724179904,0.0025932937886497366,0.3400000000000001,0.0
3.600076206,0.3444196460153348,0.0007881673497186181,0.3394365797388357,0.002853763714783671,0.36000000000000004,0.0
3.800136977,0.3659363317449761,0.00093339126290839,0.3601267775656537,0.003150164889527165,0.38000000000000006,0.0
4.000087188,0.3789097228840743,0.001028922246172797,0.378961674860989,0.003525009776399149,0.4,0.0
4.20024399,0.4015221359513648,0.0011743307252200647,0.40173400575068086,0.003964326136011732,0.42000000000000004,0.0
4.400106969,0.4293919049129661,0.0011853317984052017,0.40173400575068086,0.003964326136011732,0.44000000000000006,0.0
4.599970996,0.44198869966161447,0.0011991775904682072,0.4432638328809642,0.004610862062677515,0.4600000000000001,0.0
4.800098533,0.46169331923088514,0.0011652580110162107,0.4623872109163461,0.004815399601005863,0.4800000000000001,0.0
5.000141353,0.48673030926680977,0.001036331377320865,0.47988973546110103,0.0050375304138989985,0.5,0.0
5.200067327,0.5068320424344354,0.0010551479177924644,0.4994802314525338,0.005233104990787041,0.52,0.0
5.400383366,0.5302185841477083,0.0012330381275329808,0.5184464317706613,0.005430736466001966,0.54,0.0
5.600130406,0.5470165996512948,0.0014353188724977616,0.5418187183542609,0.005801299680828871,0.56,0.0
5.800486883,0.5677992033182768,0.0016711521038258053,0.5592330270614234,0.006087029852524383,0.5800000000000001,0.0
6.000057921,0.5869409332667029,0.002008206292853236,0.5800605609557251,0.006504844458029355,0.6000000000000001,0.0
6.200050243,0.6087078156773936,0.002356954866652792,0.5990367912378681,0.00695778077083431,0.6200000000000001,0.0
6.400063796,0.6238965441097258,0.002600319399157997,0.6229757684338674,0.007413881027450796,0.6400000000000001,0.0
6.600359999,0.6463105381849841,0.00292822226904997,0.6393296004229542,0.007815319719692869,0.6600000000000001,0.0
6.800127779,0.6662594225569038,0.0032211077472031596,0.6594514901334251,0.008345043564582013,0.6800000000000002,0.0
7.000032239,0.6878276711097705,0.003548363915805063,0.6791891489326392,0.008878717308376364,0.7000000000000001,0.0
7.200000185,0.7066636992626023,0.0038146901262234097,0.7000747912137254,0.009374015273621965,0.7200000000000001,0.0
7.399978467,0.7302543115115421,0.004015753560251381,0.7189719095965386,0.009748430537568027,0.7400000000000001,0.0
7.59994313,0.7429962040459597,0.004172260851874616,0.7425046617311958,0.010277261714816452,0.7600000000000001,0.0
7.800174167,0.7703410221019259,0.0046177105252157334,0.759529808068349,0.010726132570612673,0.7800000000000001,0.0
7.99998378,0.7905595230335117,0.005013621553878153,0.7759784901239574,0.01118722911921495,0.8,0.0
8.200152938,0.8072134292814263,0.00533822039252972,0.8010254634780131,0.01192212448972368,0.8200000000000002,0.0
8.400019542,0.8284018138602618,0.005651732371087144,0.823944090523963,0.012495666678725651,0.8400000000000001,0.0
8.600070038,0.8482460861955142,0.005964825318894641,0.8372185177998644,0.012824715636596058,0.86,0.0
8.80040437,0.8659752975934191,0.006346534609055445,0.8604290646288641,0.013436873109398678,0.8800000000000001,0.0
9.000228857,0.8896707146150338,0.006765435000956126,0.8834437257073349,0.014043383309289637,0.9,0.0
9.200153149,0.9097428546872838,0.0071303086325896405,0.9025374385827927,0.014512772672786457,0.9200000000000002,0.0
9.400027713,0.9244327788089353,0.007335008397980195,0.9158565620350992,0.014819514242764753,0.9400000000000001,0.0
9.600172633,0.9327316734183818,0.0075075317324207755,0.9326763108872723,0.015192394402912956,0.9600000000000002,0.0
9.800078136,0.9708432594056264,0.008405483266717835,0.9612903837262515,0.015993597614085014,0.9800000000000001,0.0
